Title,Offered_by,Domain,Duration,Price,combined_features
Foundations of A.I.,Prag Robotics,Artificial Intelligence,7 hours 38 minutes,4570.0,Foundations of A.I. Prag Robotics Artificial Intelligence 7 hours 38 minutes 4570.0
Fullstack Python,RISE,"Web, Mobile Development & Marketing",350 hours,0.0,"Fullstack Python RISE Web, Mobile Development & Marketing 350 hours 0.0"
Fullstack Java,RISE,"Web, Mobile Development & Marketing",350 hours,0.0,"Fullstack Java RISE Web, Mobile Development & Marketing 350 hours 0.0"
Data Science & AI Certification,Inttrvu.ai,Big Data Analytics,126 hours,69000.0,Data Science & AI Certification Inttrvu.ai Big Data Analytics 126 hours 69000.0
Business Writing That Works,WhiteBoard Labs,Effective Communication,12 hours,900.0,Business Writing That Works WhiteBoard Labs Effective Communication 12 hours 900.0
Neuro-Linguistic Programming,WhiteBoard Labs,Effective Communication,20 hours,500.0,Neuro-Linguistic Programming WhiteBoard Labs Effective Communication 20 hours 500.0
Buzz Phrase Synthesizer Tool,WhiteBoard Labs,Effective Communication,30 minutes,60.0,Buzz Phrase Synthesizer Tool WhiteBoard Labs Effective Communication 30 minutes 60.0
Ladder of Abstraction,WhiteBoard Labs,Digital Leadership,9 minutes,0.0,Ladder of Abstraction WhiteBoard Labs Digital Leadership 9 minutes 0.0
Effective Delegation,WhiteBoard Labs,Digital Leadership,30 minutes,0.0,Effective Delegation WhiteBoard Labs Digital Leadership 30 minutes 0.0
Accountability and Responsibility,WhiteBoard Labs,Influencing and Negotiation,12 hours,300.0,Accountability and Responsibility WhiteBoard Labs Influencing and Negotiation 12 hours 300.0
English Language Speaking Lab,WhiteBoard Labs,Effective Communication,40 hours,900.0,English Language Speaking Lab WhiteBoard Labs Effective Communication 40 hours 900.0
Microsoft Azure AI Fundamentals: Generative AI,Microsoft,Artificial Intelligence,2 hours 51 minutes,0.0,Microsoft Azure AI Fundamentals: Generative AI Microsoft Artificial Intelligence 2 hours 51 minutes 0.0
Copilot Foundations,Microsoft,Artificial Intelligence,3 hours 52 minutes,0.0,Copilot Foundations Microsoft Artificial Intelligence 3 hours 52 minutes 0.0
"Cisco Certified Network Associate - Entreprise Networking, Security and Automation",CISCO,Cybersecurity,70 hours,12000.0,"Cisco Certified Network Associate - Entreprise Networking, Security and Automation CISCO Cybersecurity 70 hours 12000.0"
"Cisco Certified Network Associate - Switching, Routing and Wireless Essentials",CISCO,Cybersecurity,70 hours,12000.0,"Cisco Certified Network Associate - Switching, Routing and Wireless Essentials CISCO Cybersecurity 70 hours 12000.0"
Introduction to Modern AI,CISCO,Artificial Intelligence,6 hours,0.0,Introduction to Modern AI CISCO Artificial Intelligence 6 hours 0.0
Cisco Certified Network Associate - Introduction to Networks,CISCO,Cybersecurity,70 hours,12000.0,Cisco Certified Network Associate - Introduction to Networks CISCO Cybersecurity 70 hours 12000.0
Introduction to IoT and Digital Transformation,CISCO,Internet Of Things,6 hours,0.0,Introduction to IoT and Digital Transformation CISCO Internet Of Things 6 hours 0.0
CyberOps Associate,CISCO,Cybersecurity,70 hours,12000.0,CyberOps Associate CISCO Cybersecurity 70 hours 12000.0
Networking Basics,CISCO,Cybersecurity,22 hours,0.0,Networking Basics CISCO Cybersecurity 22 hours 0.0
Verilog HDL,Maven Silicon,Semiconductors,25 hours,999.0,Verilog HDL Maven Silicon Semiconductors 25 hours 999.0
Foundation - Embedded C programming,Maven Silicon,Semiconductors,35 hours,699.0,Foundation - Embedded C programming Maven Silicon Semiconductors 35 hours 699.0
Semiconductors - VLSI & Embedded Systems Overview,Maven Silicon,Semiconductors,9 hours,0.0,Semiconductors - VLSI & Embedded Systems Overview Maven Silicon Semiconductors 9 hours 0.0
Advanced VLSI Design and Verification,Maven Silicon,Semiconductors,900 hours,19999.0,Advanced VLSI Design and Verification Maven Silicon Semiconductors 900 hours 19999.0
VLSI SoC Design using Verilog HDL,Maven Silicon,Semiconductors,15 hours,699.0,VLSI SoC Design using Verilog HDL Maven Silicon Semiconductors 15 hours 699.0
VLSI Design Methodologies,Maven Silicon,Semiconductors,45 hours,1999.0,VLSI Design Methodologies Maven Silicon Semiconductors 45 hours 1999.0
Foundation - Embedded System Design,Maven Silicon,Semiconductors,9 hours,499.0,Foundation - Embedded System Design Maven Silicon Semiconductors 9 hours 499.0
VHDL for SOC - FPGA Design,Cranes Varsity,Semiconductors,20 hours,4000.0,VHDL for SOC - FPGA Design Cranes Varsity Semiconductors 20 hours 4000.0
RTL Design Using Verilog,Cranes Varsity,Semiconductors,20 hours,4099.0,RTL Design Using Verilog Cranes Varsity Semiconductors 20 hours 4099.0
FPGA,Cranes Varsity,Semiconductors,20 hours,10000.0,FPGA Cranes Varsity Semiconductors 20 hours 10000.0
Design Verification Using System Verilog,Cranes Varsity,Semiconductors,20 hours,4099.0,Design Verification Using System Verilog Cranes Varsity Semiconductors 20 hours 4099.0
PMI-PMP,SFJ BUSINESS SOLUTIONS,Project Management,35 hours,15000.0,PMI-PMP SFJ BUSINESS SOLUTIONS Project Management 35 hours 15000.0
Prince 2 Foundation,SFJ BUSINESS SOLUTIONS,Project Management,16 hours,12000.0,Prince 2 Foundation SFJ BUSINESS SOLUTIONS Project Management 16 hours 12000.0
ITIL 4 Foundation,SFJ BUSINESS SOLUTIONS,Program Management,16 hours,10000.0,ITIL 4 Foundation SFJ BUSINESS SOLUTIONS Program Management 16 hours 10000.0
Digital Design and Verification,Edveon,Semiconductors,600 hours,0.0,Digital Design and Verification Edveon Semiconductors 600 hours 0.0
Strategic Thinking,Arthsetu,Creative Problem Solving & Critical Thinking,40 hours,20000.0,Strategic Thinking Arthsetu Creative Problem Solving & Critical Thinking 40 hours 20000.0
Personality Development,Arthsetu,Influencing and Negotiation,40 hours,11000.0,Personality Development Arthsetu Influencing and Negotiation 40 hours 11000.0
Public Speaking,Arthsetu,Influencing and Negotiation,40 hours,11000.0,Public Speaking Arthsetu Influencing and Negotiation 40 hours 11000.0
Salesforce AI and Data Cloud master,Salesforce,Artificial Intelligence,44 hours 30 minutes,0.0,Salesforce AI and Data Cloud master Salesforce Artificial Intelligence 44 hours 30 minutes 0.0
Modern Business Intelligence with No-Code AI,Emly Labs Academy,Artificial Intelligence,120 hours,15999.5,Modern Business Intelligence with No-Code AI Emly Labs Academy Artificial Intelligence 120 hours 15999.5
Communication Skills,Arthsetu,Influencing and Negotiation,40 hours,16000.0,Communication Skills Arthsetu Influencing and Negotiation 40 hours 16000.0
TOEFL- Test of English as a Foreign Language,Arthsetu,Influencing and Negotiation,672 hours,7500.0,TOEFL- Test of English as a Foreign Language Arthsetu Influencing and Negotiation 672 hours 7500.0
RISC-V based MYTH (Microprocessor for You in Thirty Hours),VSD,Semiconductors,240 hours,2124.0,RISC-V based MYTH (Microprocessor for You in Thirty Hours) VSD Semiconductors 240 hours 2124.0
Introduction on Generative AI – Artificial intelligence and Machine Learning,SFJ BUSINESS SOLUTIONS,Artificial Intelligence,15 hours,0.0,Introduction on Generative AI – Artificial intelligence and Machine Learning SFJ BUSINESS SOLUTIONS Artificial Intelligence 15 hours 0.0
Introduction of Cloud Computing,SFJ BUSINESS SOLUTIONS,Cloud Computing,12 hours,0.0,Introduction of Cloud Computing SFJ BUSINESS SOLUTIONS Cloud Computing 12 hours 0.0
Generative AI – Artificial intelligence and Machine Learning,SFJ BUSINESS SOLUTIONS,Artificial Intelligence,50 hours,25000.0,Generative AI – Artificial intelligence and Machine Learning SFJ BUSINESS SOLUTIONS Artificial Intelligence 50 hours 25000.0
Snowflake Platform Training,Snowflake,Big Data Analytics,8 hours,0.0,Snowflake Platform Training Snowflake Big Data Analytics 8 hours 0.0
Snowflake Hands-on Essentials Series Part 5 - Data Engineering,Snowflake,Big Data Analytics,8 hours,0.0,Snowflake Hands-on Essentials Series Part 5 - Data Engineering Snowflake Big Data Analytics 8 hours 0.0
Snowflake Hands-on Essentials Series Part 4 - Data Lake,Snowflake,Big Data Analytics,8 hours,0.0,Snowflake Hands-on Essentials Series Part 4 - Data Lake Snowflake Big Data Analytics 8 hours 0.0
Snowflake Hands-on Essentials Series Part 3 - Data Application,Snowflake,Big Data Analytics,8 hours,0.0,Snowflake Hands-on Essentials Series Part 3 - Data Application Snowflake Big Data Analytics 8 hours 0.0
"Snowflake Hands-on Essentials Series Part 2 - Collaboration, Marketplace and Cost Estimation",Snowflake,Big Data Analytics,8 hours,0.0,"Snowflake Hands-on Essentials Series Part 2 - Collaboration, Marketplace and Cost Estimation Snowflake Big Data Analytics 8 hours 0.0"
Snowflake Hands-on Essentials Series Part 1 - Data Warehousing,Snowflake,Big Data Analytics,8 hours,0.0,Snowflake Hands-on Essentials Series Part 1 - Data Warehousing Snowflake Big Data Analytics 8 hours 0.0
Data Science & Analytics,PrepInsta an Adda 247 Company,Big Data Analytics,40 hours,3999.0,Data Science & Analytics PrepInsta an Adda 247 Company Big Data Analytics 40 hours 3999.0
EXIN BCS Cloud Computing Foundation - powered by CTPL.io,Creanovation Technologies,Cloud Computing,20 hours,6000.0,EXIN BCS Cloud Computing Foundation - powered by CTPL.io Creanovation Technologies Cloud Computing 20 hours 6000.0
EXIN BCS Artificial Intelligence Essentials - powered by CTPL.io,Creanovation Technologies,Big Data Analytics,20 hours,6000.0,EXIN BCS Artificial Intelligence Essentials - powered by CTPL.io Creanovation Technologies Big Data Analytics 20 hours 6000.0
Azure Developer Associate (AZ-204) by Microsoft,Microsoft,Cloud Computing,13 hours 45 minutes,0.0,Azure Developer Associate (AZ-204) by Microsoft Microsoft Cloud Computing 13 hours 45 minutes 0.0
Microsoft Power BI Data Analyst (PL-300) by Microsoft,Microsoft,Artificial Intelligence,21 hours 19 minutes,0.0,Microsoft Power BI Data Analyst (PL-300) by Microsoft Microsoft Artificial Intelligence 21 hours 19 minutes 0.0
Azure Administrator Associate (AZ-104) by Microsoft,Microsoft,Cloud Computing,21 hours 21 minutes,0.0,Azure Administrator Associate (AZ-104) by Microsoft Microsoft Cloud Computing 21 hours 21 minutes 0.0
Azure AI Fundamentals (AI-900) by Microsoft,Microsoft,Artificial Intelligence,12 hours 12 minutes,0.0,Azure AI Fundamentals (AI-900) by Microsoft Microsoft Artificial Intelligence 12 hours 12 minutes 0.0
Software Container administration specialist,Red Hat,Cloud Computing,96 hours,60180.0,Software Container administration specialist Red Hat Cloud Computing 96 hours 60180.0
Linux Administrator for Datacentre,Red Hat,Cloud Computing,96 hours,14042.0,Linux Administrator for Datacentre Red Hat Cloud Computing 96 hours 14042.0
Python Developer,Red Hat,Cloud Computing,64 hours,32096.0,Python Developer Red Hat Cloud Computing 64 hours 32096.0
Cloud Essentials,Red Hat,Cloud Computing,30 hours,4720.0,Cloud Essentials Red Hat Cloud Computing 30 hours 4720.0
Building Apps Powered by Generative AI,Innomatics,Artificial Intelligence,30 hours,0.0,Building Apps Powered by Generative AI Innomatics Artificial Intelligence 30 hours 0.0
An Introduction to world of AI with Machine Learning,Innomatics,Artificial Intelligence,30 hours,0.0,An Introduction to world of AI with Machine Learning Innomatics Artificial Intelligence 30 hours 0.0
